start_tatum;bid_volume;bid_volatility
18514;1454457,823;0,84194356
18515;8602959,848;3,180504463
18516;1808195,672;1,354654931
18517;7701855,179;2,806345299
18518;2934338,269;2,248467679
18519;2277995,93;2,34508207
18520;2907486,145;2,630717774
18521;820243,0291;1,210311139
18522;540624,4242;1,137331322
18523;1142178,639;1,836075718
18524;598783,4144;1,229207374
18525;782797,6545;1,823876207
18526;721722,3456;1,529681152
18527;1751881,599;1,899805421
18528;498080,0884;0,953438154
18529;781729,7596;1,206013397
18530;576311,5437;1,057840799
18531;861100,1167;1,326545638
18532;721799,1671;0,949824475
18533;512388,9436;1,044392063
18534;958864,1669;1,35970498
18535;2672281,659;2,036282405
18536;1579594,831;1,324575693
18537;1232294,358;1,141991752
18538;1009235,581;1,350402244
18539;1063088,323;3,44440483
18540;1097718,592;1,54668173
18541;1233601,371;1,484351795
18542;1,48E+07;1,826594985
18543;963418,1864;0,967170441
18544;1253909,619;1,599963472
18545;1318457,419;2,820983656
18546;1487225,89;2,563043445
18547;1489399,227;2,045955773
18548;837920,7129;1,138918579
18549;615947,0966;1,383448473
18550;2734207,543;1,7780501
18551;1828585,095;1,697192158
18552;1109749,289;1,878255714
18553;1628255,657;1,575436325
18554;1999007,168;1,978416545
18555;3063563,879;3,126846517
18556;4556490,076;4,686665842
18557;691022,9924;1,13848278
18558;725113,3924;1,390551679
18559;731800,8583;1,184890208
18560;566667,5015;1,256497031
18561;649232,6337;1,636335852
18562;1137365,59;1,853282968
18563;394558,195;0,782814004
18564;559488,094;0,926694922
18565;454876,2302;1,561114414
18566;2851159,664;3,474020081
18567;1742948,942;2,141340822
18568;1707023,944;1,706408211
18569;8505567,383;1,837622361
18570;2244693,302;1,647100784
18571;3055828,133;3,035186708
18572;7690738,174;2,42376311
18573;5910956,438;2,147416158
18574;4067175,735;2,080769141
18575;5777164,517;3,071645135
18576;8770556,211;2,829515264
18577;1437793,361;1,596968373
18578;804316,8114;2,089801615
18579;808936,9982;2,174767439
18580;714126,534;1,315538998
18581;886103,7226;1,427798666
18582;398908,1386;1,06971
18583;578864,4869;1,476077379
18584;411516,5848;0,827468652
18585;1048606,822;1,627434455
18586;6173403,382;1,704686117
